Number,Name_Code,Lat,Long,Prefecture,County,# Shawn,# ETNAM,Tier,Distance to County Centre,Distance to Industrial Park,Watchtowers,Interior Fencing,External Wall,Have security features been added or removed,Security Features Changed,Security features changed when,Have recreational features been added or removed,Recreational features changed,Usage prior to 2017,Name,Organised visits,Other footage,Other Evidence,Eyewitness Accounts,Any signs of decomissioning,Decomissioning signs,Number of Buildings in 2017,Number of Buildings in 2018,Number of Buildings in 2019,Number of Buildings in 2020,Construction ongoing in 2019?,Construction ongoing in 2020?,Number of factories within the complex,Number of factories adjacent to the complex,Distance to residential buildings,Distance to pre-school (max 1km),Notes(tmp),Notes,Photos,Videos,Date of Latest Sat Imagery,Highlight,Desecuritisation
313,Dorbiljin Facility #1,46.53583402,83.65561784,Tarbaghatay,Dorbiljin,#N/A,C_CH02,1,3.54,,0,0,1,0,,,,,,,,,,,,,3,4,4,4,0,0,,,,,,"A Tier 1 re-education facility in Dorbiljin, Tarbaghatay with an external wall. .",,,,,
314,Ghulja Facility #10,43.95589742,81.47752316,Ili,Ghulja,#N/A,C_GH06,1,23.83,,0,0,1,1,an external wall was added,2ndhf2017,,,,,,,,,,,4,4,4,4,0,0,,,,,,"A Tier 1 re-education facility in Ghulja, Ili with an external wall.  Since it was completed, an external wall was added..",,,,,
315,Nilqa Facility #3,43.79855511,82.48840823,Ili,Nilqa,89,#N/A,1,2.62,,0,0,0,0,,,,,,,,,,,,,N/A,N/A,12,N/A,0,0,,,,,,"A Tier 1 re-education facility in Nilqa, Ili. .",,,,,1
316,Awat Facility #4,40.6700945,80.35119734,Aksu,Awat,#N/A,C_AQ09,1,4.7,,0,0,0,0,,,,,,,,,,,,,6,6,6,6,0,1,,,,,Significant factory warehouses have been built in the second half of 2019.,"A Tier 1 re-education facility in Awat, Aksu. Significant factory warehouses have been built in the second half of 2019.",,,,,
317,Yengisheher Facility #7,39.35792643,76.05178322,Kashgar,Yengisheher,3,C_QE13,2,6.27,,1,1,1,0,the facility has largely been desecuritised,,,,,,,,,,,,6,11,15,15,1,0,,,,,,"A Tier 2 re-education facility in Yengisheher, Kashgar with watchtowers and interior fencing and an external wall.  Since it was completed, the facility has largely been desecuritised..",,,,,
318,Tiemenguan Facility #4,41.8872383,85.59751794,Tiemenguan,Tiemenguan,#N/A,#N/A,3,13.98,,1,1,1,0,,,,,,,,,,,,,N/A,N/A,12,N/A,0,0,,,,,,"A Tier 3 detention centre in Tiemenguan, Tiemenguan with watchtowers and interior fencing and an external wall. .",,,,,
319,Tumshuq Facility #6,39.79516983,79.0782908,Tumshuq,Tumshuq,#N/A,#N/A,3,10.15,,1,1,1,0,,,,,,,,,,,,,0,N/A,13,N/A,0,0,,,,,,"A Tier 3 detention centre in Tumshuq, Tumshuq with watchtowers and interior fencing and an external wall. .",,,,,
320,Midong Facility #1,43.96291388,87.78235187,Urumqi,Midong,#N/A,P_UR10,4,14.19,,1,1,1,0,,,,,,,,,,,,,20,21,21,25,0,0,,,,,,"A Tier 4 prison in Midong, Urumqi with watchtowers and interior fencing and an external wall. .",,,,,
321,Kunes Facility #3,43.45955172,83.27575812,Ili,Kunes,#N/A,C_GH21,3,4.84,,1,1,1,0,,,,,,,,,,,,,N/A,N/A,21,N/A,0,1,,,,,,"A Tier 3 detention centre in Kunes, Ili with watchtowers and interior fencing and an external wall. .",,,,,
322,Karakash Facility #9,37.10997043,79.63918916,Hotan,Karakash,7,#N/A,4,20.07,0,1,1,1,0,,N/A,0,N/A,Barren,N/A,None known,None Known,None known,None Known,0,N/A,2,5,14,14,1,0,0,19,0.3,N/A,,"A Tier 4 prison in Karakash, Hotan with watchtowers and interior fencing and an external wall. .",,,,,
323,Akto Facility #6,39.15649116,75.93738201,Kizilsu,Akto,#N/A,C_AR09,1,1.67,,0,0,1,0,,,,,,,,,,,,,14,14,14,14,0,0,,,,,,"A Tier 1 re-education facility in Akto, Kizilsu with an external wall. .",,,,,
324,Bortala Facility #2,44.89330816,81.96598947,Bortala,Bortala,#N/A,C_BO01,3,11.31,,0,1,1,0,,,,,,,,,,,,,N/A,N/A,8,N/A,0,1,,,,,,"A Tier 3 detention centre in Bortala, Bortala with and interior fencing and an external wall. .",,,,,
325,Sanji Facility #9,44.0837869,87.30705549,Sanji,Sanji,#N/A,C_SA02,1,10.94,,0,1,1,1,internal fencing was added,2ndhf2018,,,,,,,,,,,7,7,7,7,0,0,,,,,,"A Tier 1 re-education facility in Sanji, Sanji with and interior fencing and an external wall.  Since it was completed, internal fencing was added..",,,,,
326,Turpan Facility #7,42.95273402,89.23899159,Turpan,Turpan,76,C_TU03,1,6.12,,0,0,1,0,,,,,,,,,,,,,N/A,4,4,4,0,0,,,,,,"A Tier 1 re-education facility in Turpan, Turpan with an external wall. .",,,,,
327,Hejing Facility #2,42.33463137,86.33854971,Bayingolun,Hejing,#N/A,C_KO08,2,5.33,,0,0,1,0,,,,,,,,,,,,,1,N/A,5,N/A,0,0,,,,,,"A Tier 2 re-education facility in Hejing, Bayingolun with an external wall. .",,,,,
328,Peyziwat Facility #5,39.48894302,76.7064708,Kashgar,Peyziwat,70,C_QE17,1,1.92,,0,0,0,0,,,,,,,,,,,,,12,13,13,13,0,0,,,,,,"A Tier 1 re-education facility in Peyziwat, Kashgar. .",,,,,
329,Yengisheher Facility #8,39.38215183,76.07200361,Kashgar,Yengisheher,13,C_QE11,1,3.84,0.6,0,0,0,0,,N/A,0,N/A,Farmland,,,,,,0,N/A,15,20,22,22,1,0,3,0,0.4,0,,"A Tier 1 re-education facility in Yengisheher, Kashgar. .",,,20-May,,
330,Onsu Facility #6,41.34472673,80.24137855,Aksu,Onsu,38,C_AQ05,3,10.09,1.8,0,0,1,0,,N/A,0,N/A,Barren,,,,,,0,N/A,N/A,11,N/A,N/A,1,0,0,0,4.9,0,,"A Tier 3 detention centre in Onsu, Aksu with an external wall. .",,,18-Oct,,
332,Araturk Facility #1,43.23141311,94.6623909,Qumul,Araturk,#N/A,#N/A,2,5.28,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,"A Tier 2 re-education facility in Araturk, Qumul. .",,,,1,
333,Aksu Facility #3,41.1908792,80.27308055,Aksu,Aksu,#N/A,C_AQ04,2,3.62,2.4,0,0,1,0,,N/A,0,N/A,,,,,,,0,N/A,18,18,21,21,1,0,3,0,0.9,0,,"A Tier 2 re-education facility in Aksu, Aksu with an external wall. .",,,20-Feb,1,
334,Onsu Facility #7,41.26683386,80.24746015,Aksu,Onsu,38,C_AQ06,2,1.74,0.5,0,0,1,0,,N/A,0,N/A,Residential?,,,,,,0,N/A,9,9,4,4,0,0,0,0,0.4,0,"Since 2019 it has been desecuritised, with significant internal fencing removed.","A Tier 2 re-education facility in Onsu, Aksu with an external wall. Since 2019 it has been desecuritised, with significant internal fencing removed.",,,20-Feb,1,1
335,Yengisheher Facility #9,39.40783121,76.09687182,Kashgar,Yengisheher,51,C_QE09,2,5.5,0.2,0,0,0,0,,N/A,0,N/A,Greenhouses,,,,,,0,N/A,11,13,15,15,1,0,0,12,0.3,N/A,,"A Tier 2 re-education facility in Yengisheher, Kashgar. .",,,20-May,,
336,Konasheher Facility #7,39.35909344,75.86358263,Kashgar,Konasheher,1,C_QE05,2,2.3,1.9,0,0,1,0,,N/A,0,N/A,Farmland,,,,,,0,N/A,7,10,11,11,1,0,0,0,0.5,N/A,,"A Tier 2 re-education facility in Konasheher, Kashgar with an external wall. .",,,20-Mar,,
337,Karakash Facility #10,37.32188991,79.5569667,Hotan,Karakash,#N/A,C_HO17,1,20.12,0.5,0,0,0,0,,N/A,0,N/A,,,,,,,0,N/A,N/A,18,18,N/A,0,1,1,0,0.7,N/A,,"A Tier 1 re-education facility in Karakash, Hotan. .",,,19-Nov,1,
338,Hotan City Facility #6,37.07183468,79.9006875,Hotan,Hotan City,#N/A,C_HO02,2,11.3,7.1,0,0,1,0,,N/A,0,N/A,Barren,,,,,,0,N/A,12,12,12,12,0,0,0,0,0.3,N/A,,"A Tier 2 re-education facility in Hotan City, Hotan with an external wall. .",,,20-Jul,,
339,Qumul Facility #5,42.86267547,93.51747196,Qumul,Qumul,#N/A,P_QU02,4,6.72,0.5,1,1,1,0,,N/A,0,N/A,Old prison?,,,,,,0,N/A,3,4,5,5,1,0,0,0,1.3,N/A,,"A Tier 4 prison in Qumul, Qumul with watchtowers and interior fencing and an external wall. .",,,20-Mar,1,
340,Toqsun Facility #1,42.8084825,88.69623431,Turpan,Toqsun,#N/A,C_TU06,4,5.31,7.3,1,1,1,0,,N/A,0,N/A,Barren,,,,,,0,N/A,N/A,N/A,8,N/A,0,0,0,0,2.5,N/A,"Some building activity is occuring just North of the guardhouse, it is unclear yet whether this is going to be used for housing more detainees or not.","A Tier 4 prison in Toqsun, Turpan with watchtowers and interior fencing and an external wall. Some building activity is occuring just North of the guardhouse, it is unclear yet whether this is going to be used for housing more detainees or not.",,,19-Sep,,
341,Arishang Facility #1,44.96196612,81.03298176,Bortala,Arishang,#N/A,C_BO02,4,1.41,0.35,1,1,1,0,,N/A,0,N/A,Barren,,,,,,0,N/A,N/A,7,N/A,7,1,0,0,6,1,1.1,,"A Tier 4 prison in Arishang, Bortala with watchtowers and interior fencing and an external wall. .",,,20-Mar,,
342,Ghulja City Facility #9,43.89608492,81.31385402,Ili,Ghulja City,#N/A,#N/A,2,20.01,6.6,0,0,0,0,,N/A,0,N/A,Farmland,,,,,,0,N/A,11,11,11,11,0,0,4,4,0.3,N/A,,"A Tier 2 re-education facility in Ghulja City, Ili. .",,,20-May,,
343,Yengisar Facility #4,38.93756118,76.05875494,Kashgar,Yengisar,68,C_QE14,3,13.06,1.7,0,1,1,0,,N/A,0,N/A,Barren,,,,,,0,N/A,N/A,11,11,N/A,1,0,0,2,2,N/A,,"A Tier 3 detention centre in Yengisar, Kashgar with and interior fencing and an external wall. .",,,19-Nov,,
344,Shawan Facility #5,44.33053411,85.59958919,Tarbaghatay,Shawan,#N/A,C_CH05,1,2.3,0.8,0,0,1,0,,N/A,0,N/A,Park,,,,,,0,N/A,N/A,12,14,14,1,0,0,0,2.1,N/A,,"A Tier 1 re-education facility in Shawan, Tarbaghatay with an external wall. .",,,20-Mar,,
345,Pichan Facility #5,42.88087114,90.13184407,Turpan,Pichan,87,C_TU10,2,9.26,0.6,0,1,1,0,,N/A,0,N/A,Barren,,,,,,0,N/A,N/A,17,19,20,1,0,4,4,4.4,N/A,,"A Tier 2 re-education facility in Pichan, Turpan with and interior fencing and an external wall. .",,,20-Apr,,1
346,Toutunhe Facility #3,43.96124602,87.3947746,Urumqi,Toutunhe,#N/A,C_UR03,2,12.9,0.1,0,0,1,1,an internal fence was removed,1stHf2020,0,N/A,,,,,,,0,N/A,1,1,3,3,1,0,0,8,3.4,N/A,,"A Tier 2 re-education facility in Toutunhe, Urumqi with an external wall.  Since it was completed, an internal fence was removed..",,,20-Jun,1,1
347,Poskam Facility #4,38.08647134,77.11212,Kashgar,Poskam,10,C_QE34,1,23.11,0.3,0,0,0,0,,N/A,0,N/A,Barren,,,,,,0,N/A,9,11,11,11,0,0,2,3,3.6,N/A,,"A Tier 1 re-education facility in Poskam, Kashgar. .",,,20-Mar,,
348,Akto Facility #7,39.25956633,76.00166348,Kizilsu,Akto,27,C_AR11,2,17.16,0.5,1,1,1,0,,N/A,0,N/A,Barren,,,,,,0,N/A,12,23,29,N/A,1,0,7,2,3.9,N/A,Previously a school,"A Tier 2 re-education facility in Akto, Kizilsu with watchtowers and interior fencing and an external wall. Previously a school.",,,19-Nov,,
349,Shihu Facility #6,44.42509459,84.6464362,Tarbaghatay,Shihu,#N/A,C_CH06,1,3.93,0.4,0,1,1,1,an internal fence was added,1stHf2020,0,N/A,School?,,,,,,0,N/A,1,3,6,6,1,0,3,0,1,N/A,,"A Tier 1 re-education facility in Shihu, Tarbaghatay with and interior fencing and an external wall.  Since it was completed, an internal fence was added..",,,20-Jun,1,
350,Lop Facility #8,37.05026504,80.22961358,Hotan,Lop,#N/A,#N/A,1,5.58,0.7,0,1,1,0,,N/A,0,N/A,Barren,,,,,,0,N/A,N/A,N/A,6,6,0,0,4,2,4.4,N/A,,"A Tier 1 re-education facility in Lop, Hotan with and interior fencing and an external wall. .",,,20-Mar,,
351,Koboksar Facility #1,46.792188,85.705836,Tarbaghatay,Koboksar,#N/A,#N/A,4,1.7,1.2,1,0,1,0,,N/A,0,N/A,?,,,,,,0,N/A,N/A,N/A,8,8,0,0,0,0,0.4,N/A,,"A Tier 4 prison in Koboksar, Tarbaghatay with watchtowers and an external wall. .",,,20-Mar,1,
352,Koboksar Facility #2,46.793453,85.705515,Tarbaghatay,Koboksar,#N/A,#N/A,3,1.75,1.3,0,1,1,0,,N/A,0,N/A,Park/Barren,,,,,,0,N/A,N/A,N/A,7,7,0,0,0,0,0.6,N/A,,"A Tier 3 detention centre in Koboksar, Tarbaghatay with and interior fencing and an external wall. .",,,20-Mar,1,
353,Mori Facility #2,43.819827,90.28325,Sanji,Mori,#N/A,#N/A,4,0.36,0.9,1,0,1,0,,N/A,0,N/A,Barren,,,,,,0,N/A,6,N/A,N/A,7,0,0,0,0,0.4,N/A,,"A Tier 4 prison in Mori, Sanji with watchtowers and an external wall. .",,,20-May,,
354,Mori Facility #3,43.818681,90.282979,Sanji,Mori,#N/A,#N/A,2,0.5,1,0,0,1,0,,N/A,0,N/A,Residential,,,,,,0,N/A,0,N/A,N/A,10,0,1,0,0,0.44,N/A,,"A Tier 2 re-education facility in Mori, Sanji with an external wall. .",,,20-May,,
355,Niye Facility #2,37.022308,82.686813,Hotan,Niye,#N/A,#N/A,4,4.63,0.1,1,0,1,0,,N/A,0,N/A,Barren,,,,,,0,N/A,N/A,N/A,5,N/A,0,0,0,6,3.8,N/A,,"A Tier 4 prison in Niye, Hotan with watchtowers and an external wall. .",,,19-Jun,,
356,Yarkant Facility #14,38.968076,77.433382,Kashgar,Yarkant,#N/A,#N/A,3,20.16,0.65,1,0,1,0,,N/A,0,N/A,?,,,,,,0,N/A,17,17,17,17,0,0,0,1,3.9,N/A,,"A Tier 3 detention centre in Yarkant, Kashgar with watchtowers and an external wall. .",,,20-Mar,1,
357,Mekit Facility #4,38.904618,77.615316,Kashgar,Mekit,#N/A,#N/A,1,3.8,4.03,0,0,1,0,,N/A,1,Running track,Farmland,,,,,,0,N/A,N/A,0,20,25,1,1,0,0,0.45,N/A,,"A Tier 1 re-education facility in Mekit, Kashgar with an external wall. .",,,20-Mar,,
358,Karakash Facility #11,37.147841,79.655069,Hotan,Karakash,#N/A,#N/A,1,0.65,0.6,0,0,0,0,,N/A,1,Sports field,Barren,,,,,,1,Wall separating the camp from other buildings in the school have been removed.,N/A,10,10,11,0,0,0,0,0.65,N/A,Potentially decomissioned. Wall separating the camp from other buildings in the school have been removed.,"A Tier 1 re-education facility in Karakash, Hotan. Potentially decomissioned. Wall separating the camp from other buildings in the school have been removed.",,,20-Jun,,1
359,Dorbiljin Facility #2,46.638949,83.61615,Tarbaghatay,Dorbiljin,#N/A,#N/A,3,1.8,0.48,1,1,1,0,,N/A,0,N/A,Barren,,,,,,0,N/A,N/A,N/A,5,5,0,0,0,0,0.4,N/A,,"A Tier 3 detention centre in Dorbiljin, Tarbaghatay with watchtowers and interior fencing and an external wall. .",,,20-May,,
360,Turpan Facility #8,43.152327,88.855255,Turpan,Turpan,#N/A,#N/A,3,1.7,2.2,1,0,1,0,,N/A,0,N/A,?,,,,,,0,N/A,24,24,24,N/A,0,0,7,0,1.2,N/A,,"A Tier 3 detention centre in Turpan, Turpan with watchtowers and an external wall. .",,,19-Dec,1,
361,Mekit Facility #5,38.995006,77.668214,Kashgar,Mekit,#N/A,#N/A,1,0.5,0.8,0,0,1,0,,N/A,1,Sports field,?,,,,,,0,N/A,N/A,N/A,7,10,0,1,0,0,0.5,N/A,,"A Tier 1 re-education facility in Mekit, Kashgar with an external wall. .",,,20-Mar,1,
362,Guma Facility #4,37.68824,78.474072,Hotan,Guma,#N/A,#N/A,1,1.3,0.9,0,1,1,0,,N/A,0,N/A,Barren,,,,,,0,N/A,N/A,N/A,40,N/A,0,0,8,0,1.3,0,,"A Tier 1 re-education facility in Guma, Hotan with and interior fencing and an external wall. .",,,19-Jun,,
363,Guma Facility #5,37.616237,78.276718,Hotan,Guma,#N/A,#N/A,1,,,0,0,1,1,an external wall was added,1stHf2020,,,,,,,,,,,N/A,8,N/A,9,1,0,,,,,,"A Tier 1 re-education facility in Guma, Hotan with an external wall.  Since it was completed, an external wall was added..",,,,,
364,Guma Facility #6,37.545407,78.291531,Hotan,Guma,#N/A,#N/A,1,,,0,0,0,0,,,,,,,,,,,,,N/A,N/A,19,N/A,0,1,,,,,,"A Tier 1 re-education facility in Guma, Hotan. .",,,,,
365,Karakash Facility #12,37.2338245,79.3143976,Hotan,Karakash,#N/A,#N/A,4,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,"A Tier 4 prison in Karakash, Hotan. .",,,,,
366,Korgas Facility #6,44.046447,80.909733,Ili,Korgas,#N/A,#N/A,3,,,1,0,1,0,,,,,,,,,,,,,N/A,9,N/A,9,1,0,,,,,,"A Tier 3 detention centre in Korgas, Ili with watchtowers and an external wall. .",,,,,
367,Tarbaghatay Facility #2,46.796175,83.072053,Tarbaghatay,Tarbaghatay,#N/A,#N/A,4,,,1,0,1,0,,,,,,,,,,,,,2,2,2,2,0,0,,,,,,"A Tier 4 prison in Tarbaghatay, Tarbaghatay with watchtowers and an external wall. .",,,,,
368,Shihu Facility #7,44.429531,84.736083,Tarbaghatay,Shihu,#N/A,#N/A,4,,,1,1,1,0,,,,,,,,,,,,,16,16,16,15,0,1,,,,,Construction ongoing as of June 2020,"A Tier 4 prison in Shihu, Tarbaghatay with watchtowers and interior fencing and an external wall. Construction ongoing as of June 2020.",,,,,
369,Saybagh Facility #3,43.748189,87.442439,Urumqi,Saybagh,#N/A,#N/A,3,,,1,1,1,0,,,,,,,,,,,,,10,10,10,12,0,1,,,,,This centre has expanded significantly since April 2020,"A Tier 3 detention centre in Saybagh, Urumqi with watchtowers and interior fencing and an external wall. This centre has expanded significantly since April 2020.",,,,,
370,Burultoqay Facility #1,47.1089854,87.5513822,Altay,Burultoqay,#N/A,#N/A,4,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,"A Tier 4 prison in Burultoqay, Altay. .",,,,,
371,Burultoqay Facility #2,47.1008989,87.5505192,Altay,Burultoqay,#N/A,#N/A,3,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,"A Tier 3 detention centre in Burultoqay, Altay. .",,,,,
372,Burultoqay Facility #3,46.8943516,87.8414901,Altay,Burultoqay,#N/A,#N/A,3,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,"A Tier 3 detention centre in Burultoqay, Altay. .",,,,,
373,Jeminey Facility #1,47.43697,85.8602,Altay,Jeminey,#N/A,#N/A,4,,,1,1,1,0,,,,,,,,,,,1,The prison wing in the East of the facility has been demolished since August 2019.,N/A,N/A,5,N/A,0,0,,,,,The prison wing in the East of the facility has been demolished since August 2019.,"A Tier 4 prison in Jeminey, Altay with watchtowers and interior fencing and an external wall. The prison wing in the East of the facility has been demolished since August 2019.",,,,,1
374,Toli Facility #1,45.9202,83.602647,Tarbaghatay,Toli,#N/A,#N/A,4,,,1,0,1,0,,,,,,,,,,,,,0,N/A,N/A,5,0,0,,,,,,"A Tier 4 prison in Toli, Tarbaghatay with watchtowers and an external wall. .",,,,,
375,Shuanghe Facility #1,44.853639,82.345161,Shuanghe,Shuanghe,#N/A,#N/A,4,,,1,0,1,0,,,,,,,,,,,,,N/A,N/A,2,N/A,0,1,,,,,,"A Tier 4 prison in Shuanghe, Shuanghe with watchtowers and an external wall. .",,,,,
376,Bortala Facility #3,44.819812,82.199454,Bortala,Bortala,#N/A,#N/A,4,,,1,0,1,0,,,,,,,,,,,,,10,N/A,N/A,N/A,0,0,,,,,,"A Tier 4 prison in Bortala, Bortala with watchtowers and an external wall. .",,,,,
377,Korgas Facility #7,43.972557,81.00151,Ili,Korgas,#N/A,#N/A,4,,,1,0,1,0,,,,,,,,,,,,,N/A,6,7,N/A,1,0,,,,,,"A Tier 4 prison in Korgas, Ili with watchtowers and an external wall. .",,,,,
378,Jimsar Facility #2,44.0012997,89.2185781,Sanji,Jimsar,#N/A,#N/A,2,,,0,0,1,0,,,,,,,,,,,,,N/A,N/A,5,N/A,0,0,,,,,The factory warehouse has been expanded since October 2020,"A Tier 2 re-education facility in Jimsar, Sanji with an external wall. The factory warehouse has been expanded since October 2020.",,,,,
379,Qumul Facility #6,42.91796,93.414469,Qumul,Qumul,#N/A,#N/A,4,,,1,1,1,0,,,,,,,,,,,,,7,7,14,14,1,0,,,,,,"A Tier 4 prison in Qumul, Qumul with watchtowers and interior fencing and an external wall. .",,,,,
380,Yengisheher Facility #10,39.367577,76.010521,Kashgar,Yengisheher,#N/A,#N/A,4,,,1,0,1,0,,,,,,,,,,,,,3,4,4,4,,0,,,,,,"A Tier 4 prison in Yengisheher, Kashgar with watchtowers and an external wall. .",,,,,
381,Akto Facility #8,39.114952,75.92571,Kashgar,Akto,#N/A,#N/A,4,,,0,0,1,0,,,,,,,,,,,,,0,0,7,7,0,0,,,,,Still Under Construction in March 2020,"A Tier 4 prison in Akto, Kashgar with an external wall. Still Under Construction in March 2020.",,,,1,
382,Atush Facility #8,39.6421866,75.9865586,Kizilsu,Atush,#N/A,#N/A,4,,,,,,0,,,,,,,,,,,,,,,,,0,0,,,,,Still Under Construction in June 2020,"A Tier 4 prison in Atush, Kizilsu. Still Under Construction in June 2020.",,,,,
383,Hejing Facility #3,42.310943,86.31385,Bayingolun,Hejing,#N/A,#N/A,4,,,1,0,1,0,,,,,,,,,,,,,,,,,,0,,,,,Still Under Construction in April 2020,"A Tier 4 prison in Hejing, Bayingolun with watchtowers and an external wall. Still Under Construction in April 2020.",,,,,
384,Chinggil Facility #2,46.6756262,90.2933966,Altay,Chinggil,#N/A,#N/A,3,,,1,0,1,,,,,,,,,,,,,,,,,,0,0,,,,,,"A Tier 3 detention centre in Chinggil, Altay with watchtowers and an external wall. .",,,,,
385,Mongolkure Facility #3,43.18039,81.134432,Ili,Mongolkure,#N/A,#N/A,4,,,1,0,1,0,,,,,,,,,,,,,N/A,3,3,3,,0,,,,,,"A Tier 4 prison in Mongolkure, Ili with watchtowers and an external wall. .",,,,,
386,Kuytun Facility #3,44.411585,85.068795,Ili,Kuytun,#N/A,#N/A,4,,,1,0,1,0,,,,,,,,,,,,,4,7,7,N/A,,0,,,,,,"A Tier 4 prison in Kuytun, Ili with watchtowers and an external wall. .",,,,,
387,Tiemenguan Facility #5,41.8819873,85.5950074,Tiemenguan,Tiemenguan,#N/A,#N/A,4,,,1,0,1,0,,,,,,,,,,,,,N/A,N/A,2,N/A,,0,,,,,,"A Tier 4 prison in Tiemenguan, Tiemenguan with watchtowers and an external wall. .",,,,,
388,Tumshuq Facility #7,39.794866,79.07824,Tumshuq,Tumshuq,#N/A,#N/A,3,,,1,1,1,,,,,,,,,,,,,,,,,,0,1,,,,,A very large facility of at least 20 wings under construction as of May 2020.,"A Tier 3 detention centre in Tumshuq, Tumshuq with watchtowers and interior fencing and an external wall. A very large facility of at least 20 wings under construction as of May 2020.",,,,,
